E_MeV,MACdry_Mix1,MACdry_Mix2,MACdry_Mix3,MACdry_Mix4,MACdry_Mix5,MACdry_Mix6,MACdry_Mix7,MACdry_Mix8,MACdry_Mix9,MACdry_Mix10,MACwet_Mix1,MACwet_Mix2,MACwet_Mix3,MACwet_Mix4,MACwet_Mix5,MACwet_Mix6,MACwet_Mix7,MACwet_Mix8,MACwet_Mix9,MACwet_Mix10,Zdry_Mix1,Zdry_Mix2,Zdry_Mix3,Zdry_Mix4,Zdry_Mix5,Zdry_Mix6,Zdry_Mix7,Zdry_Mix8,Zdry_Mix9,Zdry_Mix10,Zwet_Mix1,Zwet_Mix2,Zwet_Mix3,Zwet_Mix4,Zwet_Mix5,Zwet_Mix6,Zwet_Mix7,Zwet_Mix8,Zwet_Mix9,Zwet_Mix10
1.33,0.059148,0.0594168,0.0588793,0.0587609,0.0592635,0.0591865,0.0591096,0.0590711,0.0590326,0.0589556,0.0593579,0.0595997,0.059116,0.0590095,0.0594618,0.0593925,0.0593232,0.0592886,0.059254,0.0591847,3.7681,3.6466,3.8992,3.933,3.7013,3.7455,3.791,3.8142,3.8377,3.8857,3.7183,3.612,3.8321,3.8612,3.6599,3.6986,3.7383,3.7585,3.7789,3.8205
1.5,0.0555741,0.0558264,0.0553219,0.055211,0.0556825,0.0556103,0.055538,0.0555019,0.0554658,0.0553935,0.0557708,0.0559978,0.0555438,0.0554439,0.0558683,0.0558033,0.0557383,0.0557058,0.0556732,0.0556082,3.7694,3.6479,3.9005,3.9343,3.7025,3.7468,3.7923,3.8155,3.839,3.887,3.7196,3.6133,3.8334,3.8625,3.6612,3.6999,3.7396,3.7598,3.7802,3.8218
2,0.0476897,0.0478994,0.04748,0.0473833,0.047778,0.0477191,0.0476602,0.0476308,0.0476013,0.0475424,0.0478625,0.0480512,0.0476738,0.0475867,0.047942,0.047889,0.047836,0.0478095,0.047783,0.04773,3.7775,3.6557,3.9089,3.9426,3.7104,3.7549,3.8005,3.8238,3.8474,3.8955,3.7281,3.6214,3.8421,3.8711,3.6694,3.7083,3.7481,3.7683,3.7888,3.8306
2.51,0.0421398,0.0423206,0.041959,0.0418745,0.0422166,0.0421654,0.0421142,0.0420886,0.042063,0.0420118,0.0422923,0.0424549,0.0421296,0.0420534,0.0423614,0.0423153,0.0422692,0.0422462,0.0422231,0.042177,3.7891,3.667,3.9208,3.9544,3.7219,3.7664,3.8121,3.8354,3.859,3.9073,3.7399,3.633,3.8542,3.8831,3.6811,3.7201,3.7599,3.7802,3.8007,3.8426
3,0.0382455,0.0383996,0.0380914,0.0380125,0.0383084,0.0382665,0.0382245,0.0382036,0.0381826,0.0381407,0.0383896,0.0385283,0.0382509,0.0381799,0.0384462,0.0384085,0.0383707,0.0383519,0.038333,0.0382953,3.8048,3.6821,3.937,3.9704,3.7372,3.782,3.8279,3.8514,3.8752,3.9237,3.7562,3.6487,3.871,3.8997,3.697,3.7362,3.7763,3.7968,3.8174,3.8595
4,0.0327265,0.0328429,0.0326101,0.0325405,0.0327705,0.0327412,0.0327118,0.0326971,0.0326824,0.032653,0.0328566,0.0329614,0.0327519,0.0326893,0.0328963,0.0328699,0.0328434,0.0328302,0.032817,0.0327905,3.8386,3.7149,3.9719,4.0048,3.7703,3.8156,3.862,3.8857,3.9097,3.9587,3.7911,3.6826,3.9069,3.9353,3.7312,3.7709,3.8115,3.8322,3.853,3.8956
5,0.0290927,0.0291814,0.0290039,0.0289401,0.0291226,0.0291026,0.0290827,0.0290727,0.0290627,0.0290428,0.0292147,0.0292946,0.0291349,0.0290775,0.0292417,0.0292237,0.0292058,0.0291968,0.0291878,0.0291698,3.8762,3.7513,4.0105,4.0429,3.8071,3.8529,3.8999,3.9238,3.9481,3.9976,3.8298,3.7203,3.9467,3.9746,3.7693,3.8094,3.8505,3.8714,3.8925,3.9356
6,0.0265287,0.0265957,0.0264617,0.0264018,0.0265474,0.0265349,0.0265224,0.0265162,0.0265099,0.0264974,0.026646,0.0267063,0.0265857,0.0265318,0.0266629,0.0266516,0.0266404,0.0266347,0.0266291,0.0266179,3.9158,3.7897,4.0512,4.083,3.8458,3.8922,3.9397,3.9639,3.9884,4.0384,3.8707,3.76,3.9887,4.0161,3.8094,3.85,3.8916,3.9127,3.9341,3.9776
7,0.0246272,0.0246765,0.0245779,0.0245206,0.0246365,0.0246303,0.0246241,0.024621,0.0246179,0.0246117,0.0247418,0.0247861,0.0246974,0.0246458,0.0247501,0.0247445,0.024739,0.0247362,0.0247334,0.0247278,3.9558,3.8286,4.0923,4.1235,3.8851,3.932,3.98,4.0045,4.0292,4.0798,3.9121,3.8003,4.0311,4.058,3.85,3.8912,3.9332,3.9546,3.9763,4.0202
8,0.0231633,0.0231981,0.0231286,0.0230733,0.023165,0.0231639,0.0231628,0.0231622,0.0231617,0.0231605,0.023276,0.0233073,0.0232448,0.023195,0.0232775,0.0232765,0.0232755,0.023275,0.0232745,0.0232735,3.9957,3.8674,4.1332,4.1637,3.9242,3.9716,4.0201,4.0448,4.0698,4.1208,3.9533,3.8404,4.0733,4.0997,3.8905,3.9321,3.9746,3.9963,4.0181,4.0625
9,0.0220116,0.0220337,0.0219895,0.0219354,0.0220062,0.0220098,0.0220134,0.0220152,0.022017,0.0220206,0.0221235,0.0221434,0.0221036,0.0220549,0.0221186,0.0221218,0.0221251,0.0221267,0.0221283,0.0221316,4.0352,3.9059,4.1736,4.2036,3.963,4.0108,4.0598,4.0848,4.11,4.1615,3.9941,3.8803,4.115,4.1409,3.9306,3.9727,4.0157,4.0376,4.0596,4.1045
10,0.0210782,0.0210893,0.021067,0.0210139,0.0210667,0.0210744,0.021082,0.0210858,0.0210896,0.0210973,0.0211897,0.0211997,0.0211796,0.0211319,0.0211794,0.0211862,0.0211931,0.0211966,0.0212,0.0212069,4.0737,3.9434,4.2131,4.2424,4.0008,4.0491,4.0986,4.1238,4.1493,4.2012,4.034,3.9192,4.1558,4.1812,3.9698,4.0124,4.0558,4.0779,4.1002,4.1455
11,0.0203137,0.0203156,0.0203118,0.0202597,0.0202973,0.0203082,0.0203191,0.0203246,0.0203301,0.020341,0.0204248,0.0204264,0.0204231,0.0203761,0.02041,0.0204199,0.0204297,0.0204346,0.0204395,0.0204493,4.1111,3.9799,4.2512,4.2799,4.0375,4.0863,4.1361,4.1615,4.1872,4.2394,4.0726,3.957,4.1952,4.2201,4.0079,4.0508,4.0946,4.1169,4.1394,4.185
12,0.0196747,0.0196681,0.0196814,0.0196297,0.0196534,0.0196676,0.0196819,0.019689,0.0196961,0.0197103,0.019786,0.0197801,0.019792,0.0197454,0.0197668,0.0197796,0.0197924,0.0197988,0.0198052,0.019818,4.1474,4.0154,4.2882,4.3164,4.0732,4.1224,4.1726,4.1982,4.2241,4.2767,4.1102,3.9937,4.2335,4.2579,4.0448,4.0882,4.1324,4.1548,4.1775,4.2236
13,0.0191342,0.01912,0.0191484,0.0190972,0.0191088,0.0191257,0.0191426,0.0191511,0.0191595,0.0191764,0.0192457,0.0192329,0.0192585,0.0192124,0.0192229,0.0192381,0.0192533,0.0192609,0.0192685,0.0192837,4.1823,4.0496,4.3239,4.3515,4.1076,4.1572,4.2078,4.2335,4.2596,4.3126,4.1464,4.0292,4.2705,4.2944,4.0805,4.1242,4.1688,4.1914,4.2143,4.2606
14,0.0186784,0.0186575,0.0186994,0.0186486,0.0186493,0.0186687,0.0186882,0.0186979,0.0187076,0.0187271,0.0187902,0.0187714,0.0188091,0.0187634,0.018764,0.0187815,0.018799,0.0188077,0.0188165,0.018834,4.2164,4.083,4.3586,4.3856,4.1412,4.1911,4.2421,4.268,4.2942,4.3475,4.1817,4.0638,4.3064,4.3299,4.1154,4.1594,4.2043,4.2271,4.2501,4.2968
15,0.0182869,0.0182596,0.0183142,0.0182635,0.018254,0.018276,0.0182979,0.0183088,0.0183198,0.0183417,0.0183993,0.0183748,0.0184239,0.0183783,0.0183697,0.0183895,0.0184092,0.0184191,0.0184289,0.0184487,4.2492,4.115,4.3919,4.4184,4.1734,4.2237,4.275,4.3011,4.3274,4.381,4.2157,4.0971,4.3409,4.3639,4.1488,4.1932,4.2384,4.2613,4.2845,4.3315
