pred,resp,E,r_G4,r16,r50,r84,r_xcom
Hydrogen,LAC,0.1,-0.9186115724671805,-0.9238030811224229,-0.9178294866656314,-0.9116707579368627,-0.9109927538086658
Hydrogen,LAC,1.0,-0.9003724858786892,-0.9085465454574393,-0.898637082368172,-0.8886165006229365,-0.9041899636007463
Hydrogen,LAC,10.0,-0.901593639802016,-0.9128541413928098,-0.8966386879499988,-0.8785492189729678,-0.9077443053334593
Hydrogen,LAC,15.0,-0.9056911131549024,-0.9164469892868953,-0.9007533023571159,-0.8828308154180494,-0.9093032710960731
Hydrogen,Zeff,0.01,-0.12000912512517586,-0.12000912512517586,-0.12000912512517586,-0.12000912512517586,-0.12000912512517586
Hydrogen,Zeff,0.03,-0.9345072986822529,-0.9345072986822529,-0.9345072986822529,-0.9345072986822529,-0.9345072986822529
Hydrogen,Zeff,0.05,-0.9984959825242896,-0.9984959825242896,-0.9984959825242896,-0.9984959825242896,-0.9984959825242896
Hydrogen,Zeff,0.08,-0.995666371693788,-0.995666371693788,-0.995666371693788,-0.995666371693788,-0.995666371693788
Hydrogen,Zeff,0.1,-0.994013120892604,-0.994013120892604,-0.994013120892604,-0.994013120892604,-0.994013120892604
Hydrogen,Zeff,1.0,-0.9917163235280846,-0.9917163235280846,-0.9917163235280846,-0.9917163235280846,-0.9917163235280846
Hydrogen,Zeff,10.0,-0.9884268947811208,-0.9884268947811208,-0.9884268947811208,-0.9884268947811208,-0.9884268947811208
Hydrogen,Zeff,15.0,-0.9863753196522467,-0.9863753196522467,-0.9863753196522467,-0.9863753196522467,-0.9863753196522467
Carbon,MAC,0.01,-0.285184716683131,-0.3075479507711147,-0.2834314337843603,-0.25968803071176455,-0.3412613774181147
Carbon,MAC,0.03,0.05071500656485152,0.015484141469439116,0.05331690511509112,0.08844568094489183,0.011575560527190384
Carbon,MAC,0.05,0.6216898087184404,0.4864915997038131,0.5889149286802757,0.6828341567793953,0.541315196965281
Carbon,MAC,0.08,0.6703991862556147,0.4784563438558027,0.6107915750817446,0.7220251950653092,0.9222131669847655
Carbon,MAC,0.1,0.8280347130672984,0.6734833736451726,0.7647509925783575,0.8425091730716607,0.8933729740585747
Carbon,MAC,1.0,0.6658514569221466,0.4444964126982368,0.593739146440463,0.7201574773391216,0.8396143019386687
Carbon,MAC,10.0,0.3919168382525661,0.02694730719850926,0.2884641616607133,0.521574989691461,-0.014483909510535655
Carbon,MAC,15.0,-0.29691506602913953,-0.4371726828366422,-0.18416393261114103,0.07289917115646834,-0.8654971993815452
Carbon,LAC,0.01,-0.8273292259910382,-0.8340403004559315,-0.8268075995092757,-0.818695330177611,-0.8454838862622022
Carbon,LAC,0.03,-0.9138794444008418,-0.9176714681117785,-0.9134695286896178,-0.9090274628089229,-0.9156321083116254
Carbon,LAC,0.05,-0.9796164572620808,-0.9816312306071562,-0.9789593706345943,-0.9760322510215395,-0.9758444474740536
Carbon,LAC,0.08,-0.9908661886937025,-0.9919116652798009,-0.9901315437436803,-0.9878632086377582,-0.9887727439555059
Carbon,LAC,0.1,-0.9851218955818791,-0.9868166581838028,-0.9842557724874461,-0.9814854316596163,-0.9905168318931101
Carbon,LAC,1.0,-0.9896666986228552,-0.9909113946947424,-0.9878268726626487,-0.9838891613903255,-0.9923036445452886
