condition,value,E_MeV,mixture,d_mfp,B_exposure,T_primary,T_broad,T_broad_using_Geant4_MAC
thickness_cm,1,6,4,0.03667327415143603,,,,
thickness_cm,1,6,5,0.034254156771284294,,,,
thickness_cm,1,6,6,0.03500852567462835,,,,
thickness_cm,1,6,7,0.03579624901691292,,,,
thickness_cm,1,6,8,0.036204540953278214,,,,
thickness_cm,1,6,9,0.0366224455685178,,,,
thickness_cm,1,6,10,0.03748706871473016,,,,
thickness_cm,1,7,1,0.032860670814274795,,,,
thickness_cm,1,7,2,0.0312879653969413,,,,
thickness_cm,1,7,3,0.03460871047508065,,,,
thickness_cm,1,7,4,0.034060501305483035,,,,
thickness_cm,1,7,5,0.031788352967090816,,,,
thickness_cm,1,7,6,0.032495194549315855,,,,
thickness_cm,1,7,7,0.033234553796563746,,,,
thickness_cm,1,7,8,0.03361713692904898,,,,
thickness_cm,1,7,9,0.03400872746155305,,,,
thickness_cm,1,7,10,0.03482023380786273,,,,
thickness_cm,1,8,1,0.030907204209649857,,,,
thickness_cm,1,8,2,0.029412741470934242,,,,
thickness_cm,1,8,3,0.03256834830247133,,,,
thickness_cm,1,8,4,0.03204918015665797,,,,
thickness_cm,1,8,5,0.029890290488823624,,,,
thickness_cm,1,8,6,0.03056105101666068,,,,
thickness_cm,1,8,7,0.03126266933032026,,,,
thickness_cm,1,8,8,0.03162504063809888,,,,
thickness_cm,1,8,9,0.0319973249437197,,,,
thickness_cm,1,8,10,0.03276740757451279,,,,
thickness_cm,1,9,1,0.029371384495221375,,,,
thickness_cm,1,9,2,0.027936906007869865,,,,
thickness_cm,1,9,3,0.03096309441925903,,,,
thickness_cm,1,9,4,0.03046845953002611,,,,
thickness_cm,1,9,5,0.028394808223485977,,,,
thickness_cm,1,9,6,0.029038539668308647,,,,
thickness_cm,1,9,7,0.02971053576688425,,,,
thickness_cm,1,9,8,0.030058944376467785,,,,
thickness_cm,1,9,9,0.030415555793363122,,,,
thickness_cm,1,9,10,0.031154573731632745,,,,
thickness_cm,1,10,1,0.028125115500194264,,,,
thickness_cm,1,10,2,0.026738740619041825,,,,
thickness_cm,1,10,3,0.029664810138275044,,,,
thickness_cm,1,10,4,0.029189159268929506,,,,
thickness_cm,1,10,5,0.02718319662111147,,,,
thickness_cm,1,10,6,0.027803643115399203,,,,
thickness_cm,1,10,7,0.028453982421180836,,,,
thickness_cm,1,10,8,0.028790501981476254,,,,
thickness_cm,1,10,9,0.029134944437572256,,,,
thickness_cm,1,10,10,0.02984732945898261,,,,
thickness_cm,1,11,1,0.027105683474283434,,,,
thickness_cm,1,11,2,0.02575865400997931,,,,
thickness_cm,1,11,3,0.02860168147000725,,,,
thickness_cm,1,11,4,0.02814182767624021,,,,
thickness_cm,1,11,5,0.02618964930074047,,,,
thickness_cm,1,11,6,0.02679303332957801,,,,
