kind,mix,E_MeV,Zeq_EpiXS,Zeq_epixs_cli,max_abs_rel_diff_%_1to40mfp,rel_diff_%_at_40mfp,error
exposure,3,0.06,6.76264,6.761621246026574,0.23890128336481187,0.23890128336481187,
exposure,3,0.08,6.77084,6.767781573290778,0.5889806364792527,0.5889806364792527,
exposure,3,0.1,6.77474,6.772522403876407,0.382769828357743,0.382769828357743,
exposure,3,0.15,6.77587,6.779715742482106,0.4645567272857587,-0.4645567272857587,
exposure,3,0.2,6.7801,6.7800085419449925,0.009733635097597393,0.009733635097597393,
exposure,3,0.3,6.78606,6.785910333956978,0.011002962811557104,0.011002962811557104,
exposure,3,0.4,6.788,6.787921959082317,0.00434385536143278,0.004083629414264323,
exposure,3,0.5,6.78859,6.7888808298489876,0.015583895113480128,-0.015583895113480128,
exposure,3,0.6,6.78933,6.789382175621324,0.0017080087025389545,-0.0014362603412476638,
exposure,3,0.8,6.78865,6.789334582305151,0.013820280812748553,-0.01337634990142833,
exposure,3,1.0,6.79154,6.79020338654277,0.023617144466903106,0.023506891056368495,
exposure,3,1.5,6.15917,6.159947094124539,0.006352180173541111,-0.0036682395785470057,
exposure,3,2.0,6.13465,6.134112685341716,0.004102721621901395,0.004072542920496858,
exposure,3,3.0,6.1272,6.127755886866735,0.0018789087125603565,-0.0011235960310718163,
exposure,3,4.0,6.124,6.124150420321366,0.00043850756131780244,0.0002121106152719321,
exposure,3,5.0,6.123,6.123347768049769,0.0008327875889113656,0.0006714952909048222,
exposure,3,6.0,6.12167,6.122082436456141,0.0013404446892462119,0.0013404446892462119,
exposure,3,8.0,6.11879,6.1190956835066155,0.0018977471913705912,0.0018977471913705912,
exposure,3,10.0,6.11729,6.116767095399252,0.002366376913709445,-0.0008506619981640817,
exposure,3,15.0,6.1162,6.116659959325231,0.0017919564540891386,0.0017919564540891386,
exposure,4,0.015,6.66832,6.666724041207131,0.08010489146483835,0.08010489146483835,
exposure,4,0.02,6.68008,6.679325805054617,0.0798528380931307,0.0798528380931307,
exposure,4,0.03,6.68769,6.685611880824934,0.41483381920996987,0.41483381920996987,
exposure,4,0.04,6.6906,6.689409230872369,0.31102784663268324,0.31102784663268324,
exposure,4,0.05,6.6935,6.692808926415083,0.17265198650233682,0.17265198650233682,
exposure,4,0.06,6.69729,6.69638122384551,0.2051546945609939,0.2051546945609939,
exposure,4,0.08,6.70451,6.70182274728591,0.505569678082729,0.505569678082729,
exposure,4,0.1,6.70804,6.706105125407282,0.3203902104441436,0.3203902104441436,
exposure,4,0.15,6.70923,6.712613923522355,0.3958824584459286,-0.3958824584459286,
exposure,4,0.2,6.71309,6.713009912540765,0.008667384160876423,0.008667384160876423,
exposure,4,0.3,6.71854,6.7184014236899445,0.010246081465958845,0.010246081465958845,
exposure,4,0.4,6.72035,6.7202454889973895,0.0055128402228321605,0.004804493184007441,
exposure,4,0.5,6.7209,6.721136645440139,0.012179366407805148,-0.012179366407805148,
exposure,4,0.6,6.72159,6.721616440224998,0.0010019332373212286,-0.0008919607405344365,
exposure,4,0.8,6.72102,6.72159877664758,0.01145766507221202,-0.0108707987025225,
exposure,4,1.0,6.72355,6.722352125059637,0.02093037315580304,0.02092807150162468,
exposure,4,1.5,6.12166,6.122480950567278,0.006768522726618986,-0.003700579700127715,
exposure,4,2.0,6.09813,6.097558733671688,0.004390167730417005,0.00435882889162631,
exposure,4,3.0,6.09088,6.0913108648092225,0.0015492105836623082,-0.0009685413756232997,
exposure,4,4.0,6.08779,6.087829139827041,0.0002412577957189299,0.00013898758903785335,
exposure,4,5.0,6.08678,6.087036669385011,0.0006897368730385267,0.0006897368730385267,
exposure,4,6.0,6.08552,6.085808433545628,0.0007359963582365125,0.0007359963582365125,
exposure,4,8.0,6.08272,6.082856391225952,0.0005229848274890259,0.0005229848274890259,
exposure,4,10.0,6.08112,6.080477758062595,0.0029698656832333192,-0.0007363920748182373,
exposure,4,15.0,6.08015,6.080555076657898,0.001598475868291871,0.001598475868291871,
exposure,5,0.015,6.48941,6.488039787798893,0.06990136340792041,0.06990136340792041,
exposure,5,0.02,6.50147,6.500695820689222,0.07952457505917554,0.07952457505917554,
exposure,5,0.03,6.50539,6.503881492310672,0.26119803215176596,0.26119803215176596,
exposure,5,0.04,6.50642,6.505452419307785,0.20689562487545832,0.20689562487545832,
exposure,5,0.05,6.50834,6.507811927696167,0.11574740522517502,0.11574740522517502,
exposure,5,0.06,6.51132,6.51063100327752,0.14167786359615686,0.14167786359615686,
exposure,5,0.08,6.51717,6.515352926212577,0.3189714982452907,0.3189714982452907,
exposure,5,0.1,6.52035,6.519059516510982,0.18722918706823855,0.18722918706823855,
exposure,5,0.15,6.52223,6.524447451938017,0.23307141740311899,-0.23307141740311899,
exposure,5,0.2,6.52557,6.525430370775078,0.013359831829817814,0.013359831829817814,
exposure,5,0.3,6.5302,6.530003040782575,0.012655039678732827,0.012655039678732827,
exposure,5,0.4,6.53187,6.5315874676358066,0.013041302305505376,0.011467886488336632,
exposure,5,0.5,6.53236,6.53241630906535,0.002846212571117057,-0.0024562858386811826,
exposure,5,0.6,6.53299,6.5329137908562345,0.002285657204015301,0.0018360790842608665,
