set,material,E_MeV,F_photoelectric,F_incoherent,F_coherent,F_pair,mac_total_cm2_g
new,Mix4,0.511,0.000155,0.997887,0.001958,0.000000,0.092083
new,Mix4,0.6,0.000110,0.998368,0.001523,0.000000,0.085927
new,Mix4,0.662,0.000089,0.998604,0.001307,0.000000,0.082271
new,Mix4,0.8,0.000063,0.998961,0.000976,0.000000,0.075456
new,Mix4,1,0.000044,0.999261,0.000695,0.000000,0.067838
new,Mix4,1.173,0.000033,0.999332,0.000547,0.000089,0.062676
new,Mix4,1.33,0.000029,0.998957,0.000454,0.000560,0.058761
new,Mix4,1.5,0.000025,0.997999,0.000380,0.001597,0.055211
new,Mix4,2,0.000018,0.992325,0.000249,0.007408,0.047383
new,Mix4,2.51,0.000015,0.983483,0.000179,0.016323,0.041874
new,Mix4,3,0.000013,0.973095,0.000138,0.026754,0.038013
new,Mix4,4,0.000010,0.948212,0.000091,0.051687,0.032540
new,Mix4,5,0.000009,0.920759,0.000065,0.079168,0.028940
new,Mix4,6,0.000008,0.892062,0.000050,0.107881,0.026402
new,Mix4,7,0.000007,0.863313,0.000039,0.136640,0.024521
new,Mix4,8,0.000006,0.834979,0.000032,0.164983,0.023073
new,Mix4,9,0.000006,0.807365,0.000027,0.192602,0.021935
new,Mix4,10,0.000005,0.780805,0.000022,0.219168,0.021014
new,Mix4,11,0.000005,0.755410,0.000019,0.244566,0.020260
new,Mix4,12,0.000005,0.731187,0.000017,0.268792,0.019630
new,Mix4,13,0.000004,0.707951,0.000015,0.292030,0.019097
new,Mix4,14,0.000004,0.685916,0.000013,0.314067,0.018649
new,Mix4,15,0.000004,0.664956,0.000011,0.335029,0.018264
new,Mix5,0.01,0.915267,0.037636,0.047097,0.000000,3.987466
new,Mix5,0.015,0.786662,0.127448,0.085891,0.000000,1.296051
new,Mix5,0.02,0.622891,0.264372,0.112737,0.000000,0.654310
new,Mix5,0.03,0.337067,0.544737,0.118197,0.000000,0.327296
new,Mix5,0.04,0.176909,0.726520,0.096571,0.000000,0.244737
new,Mix5,0.05,0.098513,0.826489,0.074998,0.000000,0.212007
new,Mix5,0.06,0.058998,0.882410,0.058592,0.000000,0.194754
new,Mix5,0.08,0.025439,0.936583,0.037978,0.000000,0.175750
new,Mix5,0.1,0.013103,0.960317,0.026580,0.000000,0.164117
new,Mix5,0.15,0.003950,0.982380,0.013670,0.000000,0.145260
new,Mix5,0.2,0.001722,0.989765,0.008514,0.000000,0.132404
new,Mix5,0.3,0.000564,0.995038,0.004398,0.000000,0.114745
new,Mix5,0.356,0.000362,0.996299,0.003339,0.000000,0.107509
new,Mix5,0.4,0.000271,0.996958,0.002771,0.000000,0.102687
new,Mix5,0.5,0.000160,0.997894,0.001946,0.000000,0.093726
new,Mix5,0.511,0.000153,0.997967,0.001880,0.000000,0.092870
new,Mix5,0.6,0.000108,0.998430,0.001462,0.000000,0.086662
new,Mix5,0.662,0.000088,0.998657,0.001255,0.000000,0.082977
