set,material,E_MeV,Zeq,B_1mfp,B_2mfp,B_3mfp,B_4mfp,B_5mfp,B_6mfp,B_7mfp,B_8mfp,B_9mfp,B_10mfp,B_11mfp,B_12mfp,B_15mfp,B_20mfp,B_25mfp,B_30mfp,B_35mfp,B_40mfp
old,Mix9,0.3,6.81931,2.83354,6.20704,11.3966,18.7882,28.7928,41.8246,58.2861,78.5554,102.977,131.857,165.458,204.01,351.272,715.474,1278.83,2148.02,3382.97,4801.77
old,Mix9,0.356,6.82072,2.70742,5.72109,10.2126,16.4388,24.6657,35.1521,48.1393,63.8433,82.4506,104.116,128.963,157.089,261.877,510.499,879.396,1428.04,2181.24,3019.53
old,Mix9,0.4,6.82148,2.62151,5.39982,9.4467,14.946,22.0841,31.0363,41.9587,54.9841,70.219,87.7436,107.614,129.865,211.096,397.191,663.46,1046.85,1557.04,2107.19
old,Mix9,0.5,6.82251,2.461,4.835,8.15622,12.5157,18.0026,24.6946,32.6536,41.9239,52.5322,64.4887,77.7889,92.4178,144.056,255.666,405.862,611.296,873.984,1149.11
old,Mix9,0.511,6.82241,2.45002,4.79166,8.05309,12.3184,17.67,24.1789,31.9014,40.8769,51.1282,62.6623,75.4729,89.5437,139.092,245.785,388.788,583.527,831.416,1090.12
old,Mix9,0.6,6.82303,2.36898,4.4775,7.31465,10.9198,15.3313,20.5798,26.685,33.6557,41.4901,50.1767,59.6965,70.0254,105.607,179.494,274.616,398.769,550.049,701.871
old,Mix9,0.662,6.82587,2.31162,4.28643,6.89948,10.1732,14.1297,18.7849,24.1462,30.212,36.9731,44.413,52.5099,61.239,90.9719,151.647,228.559,327.612,446.629,564.534
old,Mix9,0.8,6.82296,2.20134,3.92903,6.13797,8.82543,11.9902,15.6275,19.7277,24.2764,29.2551,34.6419,40.4132,46.5448,66.8831,106.626,154.934,214.872,284.132,350.045
old,Mix9,1,6.82394,2.10453,3.5961,5.42161,7.56536,10.0155,12.76,15.7851,19.0758,22.6155,26.387,30.3727,34.5556,48.1358,73.7011,103.315,138.458,178.461,217.788
old,Mix9,1.173,6.47343,2.03388,3.38447,4.9992,6.85933,8.95065,11.2598,13.7731,16.4766,19.3558,22.3967,25.5853,28.9085,39.5778,59.3788,82.1103,108.856,138.905,168.14
old,Mix9,1.33,6.21820,1.98413,3.2302,4.68757,6.33636,8.1616,10.1498,12.2881,14.5637,16.9644,19.4781,22.0937,24.801,33.3908,49.0466,66.697,87.085,109.585,131.255
old,Mix9,1.5,6.16152,1.93928,3.08852,4.40059,5.85577,7.43941,9.13881,10.9423,12.8388,14.8182,16.8706,18.9874,21.1606,27.9576,40.0468,53.2914,68.1463,84.1315,99.3248
old,Mix9,2,6.13462,1.84185,2.80026,3.84445,4.96145,6.14213,7.37912,8.66609,9.99741,11.368,12.7735,14.2096,15.673,20.1987,28.1075,36.5026,45.4972,54.8931,64.0241
old,Mix9,2.51,6.13002,1.77026,2.60625,3.48936,4.4118,5.36827,6.35465,7.36754,8.40402,9.46155,10.5379,11.6311,12.7396,16.1431,22.0345,28.2013,34.672,41.3426,47.9316
old,Mix9,3,6.12806,1.71404,2.45864,3.22466,4.0083,4.80699,5.61882,6.44222,7.27589,8.11868,8.96964,9.8279,10.6927,13.3207,17.7893,22.3518,26.9973,31.6806,36.315
old,Mix9,4,6.12426,1.6264,2.24721,2.86511,3.48121,4.0962,4.71058,5.32473,5.93895,6.55347,7.16844,7.78399,8.40019,10.2527,13.3471,16.4318,19.4979,22.5719,25.6955
old,Mix9,5,6.12339,1.5644,2.10321,2.62709,3.14032,3.6456,4.14486,4.63953,5.13076,5.61947,6.10638,6.59208,7.07705,8.53063,10.9537,13.3604,15.7218,18.0518,20.4244
old,Mix9,6,6.12203,1.51587,1.99173,2.44634,2.88696,3.31796,3.74238,4.16239,4.57967,4.99547,5.41074,5.82613,6.2421,7.49453,9.57626,11.5795,13.4823,15.413,17.5553
old,Mix9,7,6.12058,1.46987,1.89839,2.30465,2.69602,3.07692,3.45038,3.81859,4.18321,4.54547,4.9063,5.26637,5.62611,6.70468,8.48359,10.1874,11.8266,13.5354,15.4678
old,Mix9,8,6.11887,1.43,1.81826,2.1839,2.53423,2.87368,3.20522,3.53101,3.85267,4.1714,4.48811,4.80345,5.11784,6.05673,7.59426,9.06208,10.4926,12.0163,13.7603
old,Mix9,9,6.11957,1.40161,1.76029,2.09573,2.41544,2.72393,3.02422,3.31851,3.60844,3.89528,4.17996,4.46321,4.74553,5.58942,6.97953,8.30993,9.56691,10.8357,12.2479
old,Mix9,10,6.11646,1.37625,1.70897,2.01814,2.3114,2.59327,2.86679,3.13417,3.39707,3.65674,3.91416,4.17008,4.42505,5.18751,6.44979,7.66762,8.80466,9.9012,11.0703
old,Mix9,11,6.11660,1.35401,1.66553,1.95424,2.22763,2.49009,2.74461,2.99331,3.23779,3.47927,3.7187,3.9568,4.19409,4.90426,6.0818,7.21685,8.26551,9.25425,10.2882
old,Mix9,12,6.11617,1.33371,1.62604,1.89633,2.15184,2.3969,2.63437,2.86633,3.09431,3.31949,3.54279,3.76489,3.98632,4.64956,5.75121,6.81341,7.78721,8.68698,9.60876
old,Mix9,13,6.11578,1.31503,1.58986,1.84338,2.0827,2.312,2.53405,2.75087,2.96393,3.17438,3.38309,3.59073,3.7978,4.41853,5.45148,6.44854,7.35758,8.18265,9.01025
old,Mix9,14,6.11630,1.29773,1.55646,1.79463,2.01915,2.23406,2.44206,2.64509,2.84457,3.0416,3.23702,3.43148,3.62546,4.20741,5.17766,6.11573,6.96776,7.72915,8.47693
old,Mix9,15,6.11600,1.28163,1.52549,1.74952,1.96043,2.16214,2.35726,2.54764,2.73466,2.91939,3.10262,3.28499,3.46696,4.01325,4.92577,5.80977,6.61075,7.31696,7.99628
old,Mix10,0.015,6.82735,1.26225,1.40632,1.50615,1.58273,1.64558,1.6997,1.74795,1.79209,1.83324,1.87213,1.90924,1.9449,2.04471,2.18871,2.29999,2.37975,2.44633,2.52297
old,Mix10,0.02,6.84585,1.60826,2.00705,2.31711,2.57614,2.8028,3.0078,3.19778,3.37712,3.54882,3.71495,3.877,4.03599,4.50037,5.23777,5.89833,6.44721,6.92425,7.43898
old,Mix10,0.03,6.86397,2.84096,4.51317,6.11281,7.67569,9.22329,10.7706,12.3287,13.9068,15.5121,17.1509,18.8283,20.5488,26.0012,36.1338,47.3783,59.1879,71.3693,84.8058
old,Mix10,0.04,6.87480,4.11091,8.06925,12.773,18.2059,24.3664,31.2573,38.8829,47.2477,56.3563,66.2136,76.8252,88.1981,126.997,208.694,316.84,459.261,637.898,842.348
old,Mix10,0.05,6.88169,4.97141,11.1189,19.4928,30.3014,43.7684,60.1124,79.5383,102.234,128.368,158.094,191.552,228.879,365.51,688.955,1181.34,1935.33,3010.23,4313.45
old,Mix10,0.06,6.88744,5.17345,12.5149,23.4654,38.6879,58.8882,84.7781,117.053,156.377,203.373,258.622,322.669,396.033,677.442,1397.91,2603.32,4639.58,7776.15,11701.1
old,Mix10,0.08,6.89512,4.90801,12.6325,25.1845,43.9217,70.3618,106.127,152.897,212.367,286.216,376.086,483.574,610.253,1121.73,2545.68,5144.35,9853.27,17379.2,26722.9
old,Mix10,0.1,6.90082,4.62804,11.8905,23.878,42.0796,68.2274,104.255,152.265,214.484,293.233,390.895,509.889,652.67,1249.23,2990.32,6228.37,12196.2,22451,37128.7
old,Mix10,0.15,6.90949,3.72992,9.27021,18.4981,32.6054,52.9779,81.1623,118.834,167.762,229.778,306.745,400.537,513.028,981.755,2335.07,4802.48,9231.72,16583.1,26625.2
old,Mix10,0.2,6.90944,3.34878,7.929,15.3248,26.3323,41.8529,62.8646,90.397,125.507,169.258,222.701,286.863,362.743,670.506,1518.31,2991.21,5546.93,9743.78,15552.7
old,Mix10,0.3,6.91643,2.83757,6.20906,11.3841,18.7406,28.6803,41.6068,57.9111,77.9595,102.084,130.58,163.699,201.659,346.426,703.813,1256.6,2109.13,3315.49,4690.17
old,Mix10,0.356,6.91798,2.70857,5.71861,10.1978,16.3983,24.5806,34.9978,47.8844,63.4502,81.8749,103.307,127.864,155.639,258.966,503.639,866.342,1404.9,2140.42,2951.4
old,Mix10,0.4,6.91880,2.62068,5.39431,9.43024,14.9094,22.0151,30.9188,41.773,54.7068,69.8227,87.1976,106.884,128.914,209.24,392.939,655.468,1032.67,1531.77,2064.66
old,Mix10,0.5,6.91988,2.46155,4.8345,8.15141,12.5015,17.9718,24.6377,32.5587,41.7769,52.3169,64.1868,77.3807,91.8825,143.015,253.466,402.327,605.554,862.151,1124.28
old,Mix10,0.511,6.91978,2.45011,4.79035,8.04739,12.3036,17.6395,24.124,31.8111,40.7381,50.9258,62.3792,75.0906,89.0427,138.116,243.702,385.393,578.009,820.356,1067.51
old,Mix10,0.6,6.92042,2.36567,4.47039,7.30278,10.9015,15.3042,20.5402,26.6284,33.5762,41.3806,50.0288,59.5009,69.7718,105.113,178.391,272.745,395.94,545.546,694.35
old,Mix10,0.662,6.92350,2.30956,4.28156,6.89076,10.1592,14.1086,18.7543,24.1033,30.1535,36.8951,44.3111,52.3796,61.0755,90.6787,151.054,227.619,326.261,444.563,561.185
old,Mix10,0.8,6.92029,2.2017,3.92842,6.13503,8.8188,11.9786,15.6098,19.7029,24.2438,29.2141,34.5925,40.3555,46.4792,66.7988,106.531,154.841,214.781,284.092,350.21
old,Mix10,1,6.92144,2.10646,3.59823,5.42232,7.56307,10.0088,12.7475,15.7658,19.0488,22.5804,26.3435,30.3208,34.4954,48.0534,73.5852,103.133,138.141,178.006,217.356
old,Mix10,1.173,6.56357,2.03467,3.38501,4.99858,6.85669,8.94525,11.251,13.7603,16.4595,19.3342,22.3704,25.5542,28.8728,39.5289,59.3064,81.992,108.653,138.613,167.835
old,Mix10,1.33,6.30264,1.98406,3.22954,4.68591,6.33336,8.15701,10.1434,12.2798,14.5535,16.9522,19.4641,22.078,24.7836,33.3696,49.02,66.6566,87.016,109.488,131.163
old,Mix10,1.5,6.24491,1.9384,3.08674,4.39795,5.85238,7.43544,9.13444,10.9377,12.8344,14.8141,16.8672,18.985,21.1595,27.962,40.0656,53.3283,68.2044,84.2179,99.4501
old,Mix10,2,6.21815,1.84115,2.79923,3.84327,4.96017,6.14074,7.37751,8.66409,9.9948,11.3646,12.7688,14.2034,15.6649,20.1829,28.0741,36.4522,45.434,54.8116,63.9022
old,Mix10,2.51,6.21289,1.76961,2.6053,3.48829,4.41072,5.36723,6.35368,7.36662,8.40309,9.46056,10.5368,11.6298,12.7379,16.14,22.0298,28.2006,34.6816,41.3586,47.9371
old,Mix10,3,6.21188,1.71342,2.45773,3.22364,4.0073,4.80611,5.61812,6.44174,7.27565,8.1187,8.96991,9.82842,10.6935,13.3222,17.7928,22.3604,27.0145,31.705,36.3398
old,Mix10,4,6.20811,1.62666,2.24733,2.86496,3.48074,4.09545,4.70965,5.32373,5.93803,6.55279,7.16818,7.78434,8.40133,10.2573,13.3599,16.4521,19.5214,22.5956,25.7225
old,Mix10,5,6.20730,1.56466,2.10315,2.62654,3.1393,3.64421,4.14324,4.63791,5.12937,5.61856,6.10624,6.59299,7.07928,8.5384,10.9743,13.3934,15.7629,18.1002,20.4884
old,Mix10,6,6.20596,1.51375,1.98893,2.44351,2.88446,3.316,3.74106,4.16177,4.57975,4.99623,5.41215,5.8282,6.24483,7.49985,9.59203,11.6162,13.5321,15.4394,17.5146
old,Mix10,7,6.20473,1.46889,1.89681,2.3027,2.69388,3.07473,3.44826,3.81666,4.18157,4.54422,4.90556,5.26626,5.62676,6.70855,8.49695,10.2135,11.8586,13.5587,15.471
old,Mix10,8,6.20299,1.43,1.81784,2.18297,2.53281,2.87185,3.20309,3.52871,3.85035,4.16921,4.48621,4.80199,5.11697,6.05831,7.60067,9.07131,10.5031,12.0315,13.7885
old,Mix10,9,6.20386,1.40095,1.75905,2.09403,2.41341,2.7217,3.02192,3.31628,3.60642,3.89359,4.17874,4.46258,4.74561,5.59232,6.98875,8.32595,9.58924,10.8653,12.2885
old,Mix10,10,6.20089,1.37501,1.70696,2.01566,2.30867,2.59046,2.86407,3.13167,3.3949,3.65502,3.913,4.16957,4.42529,5.19054,6.45907,7.68471,8.83047,9.93646,11.1165
old,Mix10,11,6.20074,1.35283,1.66357,1.95177,2.22483,2.48714,2.74165,2.99048,3.23521,3.47706,3.71695,3.95561,4.19357,4.90628,6.08952,7.23139,8.28736,9.28441,10.329
old,Mix10,12,6.20058,1.33258,1.62413,1.89385,2.14899,2.39383,2.63122,2.86323,3.09138,3.31685,3.54054,3.76314,3.98516,4.65072,5.75759,6.82576,7.80561,8.71246,9.64432
old,Mix10,13,6.20039,1.31396,1.58799,1.84092,2.07982,2.30884,2.53075,2.74756,2.96073,3.1714,3.38043,3.5885,3.7961,4.41892,5.45666,6.45893,7.37285,8.20375,9.04063
old,Mix10,14,6.20112,1.2967,1.55463,1.79219,2.01625,2.23084,2.43865,2.64161,2.84114,3.03833,3.23402,3.42884,3.62329,4.20714,5.18176,6.12438,6.98024,7.74624,8.50236
old,Mix10,15,6.20008,1.28066,1.52373,1.74713,1.95756,2.15892,2.35381,2.54408,2.7311,2.91593,3.09938,3.28205,3.46442,4.01241,4.92887,5.8168,6.62066,7.33028,8.01684
