set,material,E_MeV,Zeq,B_1mfp,B_2mfp,B_3mfp,B_4mfp,B_5mfp,B_6mfp,B_7mfp,B_8mfp,B_9mfp,B_10mfp,B_11mfp,B_12mfp,B_15mfp,B_20mfp,B_25mfp,B_30mfp,B_35mfp,B_40mfp
new,Mix2,0.04,6.87552,4.09806,8.05564,12.7669,18.2134,24.391,31.3002,38.9426,47.3199,56.4342,66.2875,76.8833,88.2267,126.846,208.019,315.814,458.408,636.755,838.37
new,Mix2,0.05,6.89446,5.20328,11.7324,20.641,32.1494,46.4928,63.8987,84.5784,108.723,136.502,168.069,203.561,243.111,387.556,728.563,1248.23,2045.6,3177.54,4532.25
new,Mix2,0.06,6.90955,5.65334,13.8925,26.2248,43.4041,66.2276,95.4931,131.973,176.396,229.44,291.727,363.835,446.312,761.709,1566.19,2914.95,5202.73,8714.1,13041.1
new,Mix2,0.08,6.93106,5.51758,14.6261,29.603,52.1403,84.1173,127.525,184.401,256.775,346.624,455.847,586.266,739.65,1356.05,3064.09,6207.7,11973.8,21144.1,32179.4
new,Mix2,0.1,6.94638,5.24202,13.9124,28.4146,50.6481,82.8187,127.382,186.993,264.447,362.632,484.478,632.932,810.952,1552.78,3705.46,7707.73,15130.7,27894.5,45887.8
new,Mix2,0.15,6.97122,3.98099,10.3329,21.2358,38.261,63.2234,98.1249,145.097,206.343,284.081,380.499,497.725,637.829,1215.93,2859.46,5881.18,11479.6,20920.2,33459.3
new,Mix2,0.2,6.98090,3.40129,8.41774,16.8656,29.8132,48.4515,74.0431,107.876,151.22,205.292,271.23,350.085,442.835,813.906,1819.3,3592.71,6674.91,11242.3,16193.6
new,Mix2,0.3,6.99789,2.96236,6.67433,12.4832,20.8587,32.2961,47.2895,66.311,89.7951,118.126,151.634,190.591,235.222,404.971,822.144,1471.88,2490.12,3934.04,5532.18
new,Mix2,0.356,7.00215,2.80595,6.0863,11.0621,18.0464,27.3591,39.3061,54.1662,72.1816,93.5519,118.433,146.939,179.151,298.556,579.536,998.24,1629.18,2490.98,3410.16
new,Mix2,0.4,7.00429,2.69967,5.69929,10.1483,16.2722,24.2955,34.4245,46.838,61.681,79.0622,99.0544,121.698,147.009,238.916,447.578,747.104,1183.66,1760.8,2355.08
new,Mix2,0.5,7.00721,2.53751,5.0869,8.69765,13.4788,19.5345,26.9536,35.804,46.1315,57.9593,71.29,86.1088,102.388,159.657,282.776,448.971,677.506,965.116,1250.83
new,Mix2,0.511,7.00728,2.52177,5.03146,8.57168,13.2435,19.1431,26.3516,34.9301,44.9185,56.3349,69.1783,83.4314,99.065,153.907,271.282,429.038,645.167,916.26,1184.86
new,Mix2,0.6,7.00882,2.40559,4.63003,7.67208,11.5817,16.4047,22.1749,28.9114,36.6183,45.2856,54.891,65.4031,76.7848,115.775,196.006,299.692,436.992,603.827,764.338
new,Mix2,0.662,7.01265,2.34895,4.42841,7.21928,10.7511,15.0508,20.136,26.0131,32.6767,40.1112,48.2924,57.1895,66.7687,99.2746,165.234,249.33,359.204,491.14,617.491
new,Mix2,0.8,7.01006,2.2404,4.05372,6.39507,9.26358,12.6588,16.5751,21.0009,25.9184,31.3048,37.1336,43.3759,50.0027,71.9337,114.655,166.848,232.295,307.872,378.041
new,Mix2,1,7.01110,2.1227,3.67077,5.58738,7.85498,10.4592,13.3843,16.6125,20.124,23.8972,27.91,32.1403,36.5674,50.8573,77.614,109.01,146.902,189.204,227.737
new,Mix2,1.173,6.48396,2.0912,3.55276,5.32613,7.39027,9.7283,12.3235,15.1582,18.214,21.4719,24.913,28.519,32.2733,44.292,66.5564,92.4781,123.657,158.67,191.338
new,Mix2,1.33,6.09643,2.05945,3.43791,5.07547,6.94792,9.03609,11.322,13.7878,16.4159,19.1891,22.0906,25.1053,28.2195,38.0565,55.9326,76.4265,100.668,127.226,151.338
new,Mix2,1.5,6.01148,2.01047,3.27315,4.731,6.35927,8.13887,10.0528,12.0852,14.2211,16.4466,18.7485,21.1154,23.5372,31.0599,44.3436,59.0515,75.7913,93.4577,109.082
new,Mix2,2,5.97061,1.89954,2.94006,4.0831,5.31198,6.61471,7.98146,9.40369,10.8738,12.3851,13.9315,15.5079,17.1098,22.0368,30.5941,39.7533,49.7558,60.243,70.1445
new,Mix2,2.51,5.96508,1.81761,2.71413,3.66588,4.66275,5.69779,6.76557,7.86164,8.98221,10.1241,11.2846,12.4615,13.653,17.3052,23.6554,30.4452,37.7012,45.0797,52.0493
new,Mix2,3,5.96078,1.75319,2.54261,3.35613,4.18862,5.03665,5.89762,6.7695,7.6506,8.53955,9.43527,10.3369,11.2437,13.9927,18.6762,23.5219,28.4868,33.3978,38.0842
new,Mix2,4,5.95610,1.65425,2.30094,2.94332,3.58272,4.21999,4.85576,5.49049,6.12457,6.75831,7.39195,8.02573,8.6598,10.565,13.7536,16.9543,20.1468,23.2941,26.3471
new,Mix2,5,5.95478,1.576,2.1231,2.65373,3.17284,3.68351,4.18794,4.68774,5.1842,5.67829,6.17082,6.66239,7.15345,8.62616,11.0765,13.484,15.8021,18.0554,20.3501
new,Mix2,6,5.95315,1.52569,2.01156,2.47526,2.92372,3.36118,3.79056,4.21404,4.63329,5.0496,5.46401,5.8773,6.29009,7.52892,9.59522,11.6251,13.5731,15.4782,17.4685
new,Mix2,7,5.95141,1.47995,1.91507,2.32567,2.71959,3.10155,3.47478,3.84164,4.20389,4.56292,4.91979,5.27532,5.6301,6.69333,8.45792,10.1574,11.7003,13.0642,14.3527
new,Mix2,8,5.94977,1.44032,1.83272,2.19926,2.54836,2.88502,3.21263,3.53363,3.84987,4.16274,4.47335,4.78252,5.09089,6.0147,7.5484,9.02074,10.3263,11.3987,12.2955
new,Mix2,9,5.95004,1.40503,1.76359,2.09724,2.41418,2.71923,3.01566,3.30582,3.59145,3.87386,4.15408,4.43284,4.7107,5.54146,6.90933,8.20162,9.35768,10.4148,11.5069
new,Mix2,10,5.94718,1.37349,1.70215,2.00692,2.29572,2.57321,2.8425,3.10584,3.36487,3.62081,3.8746,4.12689,4.37815,5.12743,6.35115,7.50898,8.62073,9.80157,11.1754
new,Mix2,11,5.94755,1.35068,1.65826,1.9429,2.21221,2.47067,2.72127,2.96616,3.20691,3.44473,3.68051,3.9149,4.14837,4.84533,5.98777,7.06834,8.08107,9.11518,10.2941
new,Mix2,12,5.94670,1.32987,1.61832,1.88476,2.13649,2.37782,2.61162,2.83995,3.06431,3.28587,3.50548,3.72381,3.94132,4.59119,5.66025,6.6742,7.60971,8.53032,9.55239
new,Mix2,13,5.94615,1.31073,1.58168,1.83151,2.06726,2.29303,2.5116,2.72491,2.93443,3.14127,3.34627,3.55006,3.75311,4.36023,5.36232,6.31682,7.18948,8.02107,8.91648
new,Mix2,14,5.94614,1.293,1.54782,1.78241,2.0035,2.21505,2.41969,2.61931,2.81529,3.00872,3.20039,3.39092,3.58078,4.14884,5.0893,5.98955,6.80905,7.56948,8.36207
new,Mix2,15,5.94671,1.27649,1.51637,1.73687,1.94445,2.1429,2.33474,2.52177,2.70534,2.88645,3.06589,3.24426,3.42202,3.95416,4.83759,5.68763,6.46064,7.16297,7.87146
new,Mix3,0.015,6.96478,1.23897,1.36714,1.45508,1.52228,1.57742,1.62497,1.66748,1.70649,1.74296,1.77751,1.81056,1.84235,1.93143,2.05906,2.15524,2.2224,2.27987,2.34957
new,Mix3,0.02,7.00124,1.54275,1.89055,2.1568,2.37656,2.56702,2.7379,2.89522,3.0429,3.18356,3.31904,3.45062,3.57917,3.95159,4.53267,5.04015,5.45149,5.8057,6.19067
new,Mix3,0.03,7.04498,2.5938,3.97735,5.26317,6.49191,7.68708,8.86441,10.0353,11.2083,12.3903,13.5869,14.8023,16.0402,19.9125,26.9253,34.4049,41.8308,48.9993,56.553
new,Mix3,0.04,7.06742,3.887,7.40019,11.4435,15.9906,21.028,26.5471,32.5416,39.0063,45.937,53.3303,61.1843,69.498,97.2234,153.339,224.324,313.51,420.442,538.837
