condition,value,E_MeV,d_min_mfp,d_max_mfp,spread_primary_pct,spread_broad_pct,best_mix_primary,best_mix_broad,worst_mix_broad,spearman_primary_vs_broad
thickness_cm,100,0.3,14.585,16.148,377.68,260.58,10,3,2,0.98788
thickness_cm,100,0.356,13.665,15.13,332.53,230.89,10,3,2,0.98788
thickness_cm,100,0.4,13.053,14.451,305.01,213.44,10,10,2,1
thickness_cm,100,0.5,11.914,13.191,258.55,184.46,10,10,2,1
thickness_cm,100,0.511,11.805,13.07,254.37,181.8,10,10,2,1
thickness_cm,100,0.6,11.016,12.196,225.52,163.9,10,10,2,1
thickness_cm,100,0.662,10.548,11.677,209.46,153.25,10,10,2,1
thickness_cm,100,0.8,9.6737,10.71,182.02,135.31,10,10,2,1
thickness_cm,100,1,8.6972,9.6296,154.07,116.23,10,10,2,1
thickness_cm,100,1.173,8.0356,8.8961,136.43,107.02,10,10,2,1
thickness_cm,100,1.33,7.5335,8.3409,124.21,100.11,10,10,2,1
thickness_cm,100,1.5,7.0782,7.837,113.57,92.145,10,10,2,1
thickness_cm,100,2,6.0731,6.7261,92.124,75.017,10,10,2,1
thickness_cm,100,2.51,5.3659,5.9437,78.218,63.601,10,10,2,1
thickness_cm,100,3,4.8687,5.3961,69.439,56.563,10,10,2,1
thickness_cm,100,4,4.1642,4.6196,57.692,47.041,10,10,2,1
thickness_cm,100,5,3.6999,4.1089,50.538,41.257,10,10,2,1
thickness_cm,100,6,3.3721,3.7487,45.732,37.451,10,10,2,1
thickness_cm,100,7,3.1288,3.482,42.365,34.858,10,10,2,1
thickness_cm,100,8,2.9413,3.2767,39.859,33.027,10,10,2,1
thickness_cm,100,9,2.7937,3.1155,37.956,31.567,10,10,2,1
thickness_cm,100,10,2.6739,2.9847,36.46,30.459,10,10,2,1
thickness_cm,100,11,2.5759,2.8778,35.244,29.564,10,10,2,1
thickness_cm,100,12,2.4937,2.7885,34.286,28.885,10,10,2,1
thickness_cm,100,13,2.4242,2.713,33.473,28.328,10,10,2,1
thickness_cm,100,14,2.3655,2.6494,32.832,27.913,10,10,2,1
thickness_cm,100,15,2.3152,2.595,32.284,27.574,10,10,2,1
areal_mass_g_cm2,1,0.015,1.2335,1.3249,9.566,11.294,4,4,2,1
areal_mass_g_cm2,1,0.02,0.62767,0.66451,3.752,5.4254,4,4,2,1
areal_mass_g_cm2,2,0.015,2.4671,2.6498,20.047,23.217,4,4,2,1
areal_mass_g_cm2,2,0.02,1.2553,1.329,7.6447,10.874,4,4,2,1
areal_mass_g_cm2,2,0.03,0.63816,0.65783,1.9859,5.1095,4,4,2,0.98788
areal_mass_g_cm2,5,0.015,6.1677,6.6245,57.899,64.726,4,4,2,1
areal_mass_g_cm2,5,0.02,3.1384,3.3225,20.221,27.337,4,4,2,1
areal_mass_g_cm2,5,0.03,1.5954,1.6446,5.0388,11.526,4,4,2,0.98788
